Gender,Height,Weight,BMI
Female,171.3,71.9,24.49
Male,165.2,52.9,19.37
Male,159.9,47.1,18.41
Female,159.2,57.0,22.48
Male,163.2,64.8,24.32
Female,150.4,45.7,20.2
Male,168.9,51.8,18.13
Female,154.8,38.4,16.04
Female,166.5,48.4,17.47
Female,160.2,40.1,15.61
Male,173.4,67.0,22.26
Male,168.2,70.3,24.88
Female,161.6,55.3,21.19
Male,172.3,47.0,15.83
Female,153.0,46.2,19.73
Male,168.6,60.5,21.26
Female,167.7,77.7,27.63
Female,157.1,39.7,16.1
Male,171.0,60.8,20.79
Male,189.2,93.9,26.24
Female,163.2,60.5,22.71
Male,181.0,77.4,23.63
Female,161.6,56.4,21.58
Male,175.1,70.2,22.9
Female,162.6,62.6,23.66
Female,164.4,51.5,19.05
Male,165.5,66.0,24.09
Female,162.3,45.1,17.12
Male,165.0,61.2,22.45
Female,156.6,52.4,21.36
Male,178.6,65.8,20.63
Male,173.6,66.0,21.92
Male,169.0,57.1,20.0
Male,174.2,58.2,19.18
Male,168.8,59.1,20.74
Female,162.5,47.4,17.95
Male,158.2,54.9,21.96
Female,160.8,45.6,17.61
Male,157.1,57.1,23.13
Male,160.5,45.0,17.47
Female,159.6,49.1,19.28
Female,154.9,44.4,18.51
Male,166.0,70.0,25.4
Male,160.5,57.1,22.16
Female,160.0,52.3,20.43
Female,162.4,60.1,22.81
Female,164.7,41.4,15.25
Male,174.0,66.3,21.89
Male,167.1,76.4,27.35
Female,162.7,57.4,21.71
Female,151.4,46.8,20.41
Male,168.9,66.4,23.28
Male,171.7,71.7,24.32
Male,170.4,47.4,16.32
Female,152.7,35.0,15.01
Male,173.4,67.8,22.53
Male,175.7,62.4,20.22
Male,166.2,70.1,25.37
Female,157.6,49.4,19.86
Male,182.4,58.7,17.64
Male,164.2,47.6,17.67
Male,164.8,36.3,13.37
Male,180.4,70.4,21.66
Female,164.3,56.4,20.88
Male,180.8,69.3,21.21
Male,167.9,69.7,24.74
Female,144.7,49.9,23.8
Male,171.9,63.4,21.44
Female,160.0,36.9,14.42
Female,167.3,65.5,23.41
Male,168.5,66.1,23.28
Female,161.4,57.8,22.16
Male,167.9,68.9,24.46
Female,163.4,47.7,17.88
Male,160.0,70.1,27.37
Female,160.0,46.3,18.09
Female,166.9,66.2,23.77
Female,156.1,37.0,15.18
Male,154.2,41.4,17.39
Male,165.5,71.1,25.95
Male,159.2,51.2,20.2
Male,165.2,65.4,23.96
Female,164.9,60.3,22.18
Male,169.7,61.9,21.49
Female,154.7,60.1,25.13
Female,154.0,46.7,19.69
Male,172.4,50.9,17.13
Male,163.9,51.1,19.02
Female,153.3,52.4,22.29
Male,175.6,71.2,23.09
Male,173.7,53.8,17.83
Female,158.6,46.9,18.66
Female,160.8,50.0,19.36
Male,185.2,73.8,21.51
Male,170.4,52.3,18.03
Male,168.9,56.9,19.97
Female,161.0,49.1,18.94
Female,162.9,62.8,23.66
Female,160.8,61.2,23.67
Female,163.1,55.6,20.91
Female,158.9,49.9,19.76
Male,173.3,67.1,22.34
Male,171.4,57.7,19.65
Female,167.9,52.0,18.43
Female,155.5,42.4,17.55
Female,159.6,48.5,19.06
Male,169.9,53.6,18.57
Male,166.4,61.1,22.05
Male,174.8,73.2,23.94
Male,172.3,52.4,17.64
Female,158.6,53.0,21.05
Female,152.2,45.2,19.52
Male,172.8,68.3,22.86
Male,164.7,58.1,21.43
Female,153.6,36.6,15.52
Male,160.8,44.6,17.26
Female,169.2,62.5,21.84
Female,179.7,79.9,24.76
Male,169.2,44.6,15.57
Male,173.5,69.0,22.9
Female,161.7,65.1,24.88
Female,158.9,51.8,20.51
Male,168.9,66.5,23.28
Female,160.4,48.8,18.95
Female,160.8,53.7,20.79
Female,157.1,38.5,15.58
Male,162.8,37.7,14.24
Female,149.2,51.8,23.28
Female,164.6,50.2,18.55
Male,182.3,70.4,21.19
Male,162.4,45.1,17.09
Female,160.1,42.8,16.7
Male,183.7,74.0,21.91
Male,159.4,47.7,18.75
Male,162.0,58.9,22.42
Female,168.6,65.3,22.99
Female,171.1,66.5,22.73
Male,176.7,70.9,22.72
Female,166.8,72.8,26.15
Male,158.6,44.2,17.57
Female,167.9,60.7,21.52
Female,164.3,66.9,24.79
Female,164.2,67.9,25.18
Male,166.6,48.6,17.5
Female,152.3,44.6,19.22
Male,174.8,78.2,25.59
Female,150.5,49.5,21.86
Male,174.1,68.3,22.52
Male,159.2,51.5,20.34
Male,174.8,64.2,21.03
Female,170.4,65.7,22.62
Male,172.6,63.4,21.26
Female,151.9,46.4,20.1
Male,174.1,67.3,22.21
Male,165.4,53.4,19.53
Female,160.6,58.8,22.79
Male,176.0,91.7,29.61
Female,157.5,37.5,15.13
Female,162.5,58.8,22.28
Male,181.2,67.0,20.4
Male,167.9,65.7,23.32
Male,171.2,64.5,21.99
Female,154.8,55.4,23.12
Female,158.3,61.9,24.69
Male,174.3,68.4,22.52
Male,167.3,69.6,24.88
Male,168.1,42.6,15.06
Male,180.5,85.2,26.14
Female,158.3,55.5,22.14
Female,145.3,49.4,23.4
Male,182.3,64.3,19.35
Female,158.2,45.7,18.27
Male,168.2,62.5,22.11
Male,157.4,51.6,20.8
Female,158.8,55.2,21.89
Female,169.0,70.8,24.78
Female,160.4,40.3,15.64
Male,163.2,64.7,24.28
Male,175.1,67.6,22.06
Male,174.7,65.6,21.49
Male,160.5,42.7,16.57
Female,143.8,43.4,21.0
Female,146.0,35.0,16.42
Male,172.2,70.2,23.66
Female,160.1,42.2,16.45
Male,170.0,63.4,21.95
Female,163.3,56.0,21.01
Male,158.9,62.4,24.7
Male,172.2,63.5,21.43
Female,167.2,54.9,19.65
Male,183.9,71.5,21.13
Male,169.8,73.0,25.32
Male,182.7,78.7,23.58
Male,163.3,53.9,20.2
Male,175.1,65.7,21.43
Male,173.2,53.4,17.79
Female,160.0,57.1,22.31
Female,170.3,49.2,16.96
Male,179.5,77.6,24.07
Male,168.7,62.9,22.09
Female,151.7,65.6,28.52
Female,157.5,42.9,17.31
Female,158.2,51.6,20.6
Female,149.4,58.9,26.37
Female,153.1,57.3,24.46
Male,159.1,47.6,18.81
Male,159.7,55.5,21.77
Female,172.6,65.4,21.94
Female,157.1,53.7,21.74
Male,153.0,42.2,18.0
Female,152.0,46.0,19.94
Male,172.9,52.8,17.67
Female,159.2,54.3,21.45
Female,153.0,51.3,21.92
Male,176.9,67.3,21.53
Male,173.4,53.2,17.68
Male,187.7,86.8,24.65
Female,161.0,57.9,22.31
Female,162.6,50.5,19.11
Male,169.8,60.6,21.01
Male,176.7,57.0,18.27
Female,166.0,51.2,18.58
Male,179.8,67.5,20.88
Male,167.4,70.4,25.15
Male,168.0,56.0,19.87
Female,150.4,50.5,22.31
Female,157.8,47.7,19.16
Male,181.5,75.3,22.87
Female,164.3,56.7,21.02
Female,159.0,60.1,23.77
Male,173.2,61.6,20.53
Female,167.1,47.8,17.12
Female,158.2,41.3,16.51
Male,155.2,45.5,18.86
Male,165.2,48.7,17.84
Female,173.7,69.6,23.07
Female,151.4,42.5,18.56
Male,164.3,76.8,28.48
Female,170.4,49.5,17.03
Female,152.6,49.0,21.03
Male,178.8,61.9,19.36
Female,156.6,47.0,19.16
Male,163.8,58.5,21.82
Female,159.3,35.0,13.8
Male,178.3,72.4,22.76
Male,164.2,73.0,27.08
Female,155.0,45.9,19.1
Male,174.9,69.5,22.72
Female,176.0,76.6,24.73
Male,175.5,66.7,21.64
Female,166.2,54.9,19.89
Female,156.6,35.0,14.28
Female,158.7,58.0,23.01
Male,170.9,62.9,21.54
Male,169.5,54.5,18.95
Female,150.4,46.3,20.49
Female,147.3,37.9,17.47
Female,144.3,35.6,17.11
Male,168.5,66.5,23.42
Female,169.3,51.6,18.02
Male,170.3,71.7,24.71
Male,178.9,59.8,18.69
Female,162.9,51.3,19.33
Male,160.5,69.9,27.11
Female,153.7,57.3,24.28
Male,181.2,73.9,22.5
Male,173.0,58.2,19.44
Male,176.4,64.5,20.73
Female,163.9,58.1,21.63
Female,164.0,57.9,21.52
Female,156.2,49.8,20.43
Female,152.1,46.7,20.17
Female,151.7,44.8,19.48
Female,160.6,43.0,16.67
Female,162.3,51.9,19.72
Male,172.1,72.2,24.38
Male,176.4,57.9,18.58
Male,176.6,67.5,21.62
Male,159.7,47.1,18.49
Female,170.9,64.7,22.15
Male,178.0,67.1,21.18
